epoch,IoU,accuracy,loss,val_IoU,val_accuracy,val_loss
0,0.09577120095491409,0.5684999823570251,54.956417083740234,0.41509097814559937,0.5178571343421936,50.620059967041016
1,0.20649318397045135,0.7200000286102295,46.80245590209961,0.291290819644928,0.5714285969734192,43.15343475341797
2,0.2306918501853943,0.7369999885559082,39.88655471801758,0.22328217327594757,0.5678571462631226,36.78627014160156
0,0.06033443287014961,0.2671428620815277,53.486968994140625,0.04369952902197838,0.41624999046325684,47.181793212890625
0,0.2884126901626587,0.3715648949146271,53.46989059448242,0.15125000476837158,0.5803040266036987,47.170597076416016
1,0.3417460322380066,0.6121168732643127,41.79822540283203,0.1525000035762787,0.6289792060852051,36.91474151611328
2,0.4890476167201996,0.6396070718765259,32.593780517578125,0.8537499904632568,0.6488666534423828,28.939773559570312
3,0.6841269731521606,0.657504141330719,25.204832077026367,0.7524999976158142,0.6629992723464966,22.709716796875
4,0.7322221994400024,0.666511058807373,19.64360809326172,0.3137499988079071,0.6692055463790894,17.887880325317383
5,0.7611111402511597,0.6712082028388977,15.345762252807617,0.7749999761581421,0.6727887392044067,14.119633674621582
6,0.7741270065307617,0.674064576625824,12.007378578186035,0.8450000286102295,0.6750802993774414,11.190896034240723
7,0.7873015999794006,0.6759482622146606,9.415757179260254,0.42500001192092896,0.6766945719718933,8.923900604248047
8,0.7858729958534241,0.6773887276649475,7.401658535003662,0.5024999976158142,0.677951455116272,7.161762237548828
9,0.7947618961334229,0.6784663796424866,5.833683490753174,0.29374998807907104,0.67888343334198,5.793869495391846
10,0.7942857146263123,0.679307222366333,4.616612434387207,0.26499998569488525,0.6796494722366333,4.722439765930176
11,0.7995238304138184,0.6799883842468262,3.6708364486694336,0.8475000262260437,0.6802496910095215,3.887909173965454
