epoch,accuracy,get_iou,loss,val_accuracy,val_get_iou,val_loss
0,0.5718749761581421,0.5993911027908325,50.50105285644531,0.6982142925262451,0.7611850500106812,42.46305847167969
1,0.6449404954910278,0.6893180012702942,36.08279800415039,0.6357142925262451,0.7403063178062439,30.3536319732666
2,0.668749988079071,0.7267714142799377,25.78952980041504,0.6017857193946838,0.7646122574806213,21.695735931396484
3,0.6916666626930237,0.7515182495117188,18.43300437927246,0.7023809552192688,0.7839868664741516,15.50615119934082
4,0.7252976298332214,0.7790301442146301,13.174739837646484,0.6714285612106323,0.8313435912132263,11.081679344177246
5,0.7561011910438538,0.7989773154258728,9.416552543640137,0.511904776096344,0.7904205322265625,7.925498962402344
6,0.7644345164299011,0.8144357800483704,6.730750560760498,0.8690476417541504,0.834818959236145,5.662280082702637
7,0.7769345045089722,0.8261978626251221,4.811222076416016,0.7321428656578064,0.83234703540802,4.0480570793151855
8,0.7866071462631226,0.8340421915054321,3.4394984245300293,0.8071428537368774,0.822762131690979,2.894942045211792
9,0.7873511910438538,0.8396030068397522,2.4591727256774902,0.9029762148857117,0.8145965337753296,2.070523738861084
